rainfall_mm,elevation_m,drainage_score,previous_water_level_m,flood_severity
89.05,76.48,3,0.71,38.06
100.02,65.92,2,0.74,45.15
244.12,83.4,5,0.95,54.09
252.8,93.32,8,1.43,49.66
209.22,59.3,2,1.44,66.25
283.42,66.64,3,1.31,70.86
226.59,59.73,2,1.5,68.75
270.47,79.91,6,1.37,59.76
313.52,78.41,4,1.55,70.41
120.54,99.65,8,0.41,23.64
94.58,64.78,3,0.52,41.81
139.32,67.22,3,0.59,47.24
41.78,83.44,4,0.0,23.25
150.68,86.24,9,0.75,32.88
188.11,59.08,4,0.75,55.91
161.58,81.23,3,1.66,51.81
73.91,64.26,1,0.59,43.05
211.94,82.65,6,0.81,47.59
295.36,72.24,4,1.5,69.93
112.5,81.34,8,0.15,27.55
32.62,69.0,3,0.67,33.1
168.05,71.92,2,0.77,52.11
107.24,75.29,5,0.36,35.35
190.78,96.98,9,1.11,36.53
254.98,62.92,3,1.29,68.34
276.83,72.99,4,1.72,68.61
110.76,70.83,2,1.27,48.11
276.09,76.33,7,1.55,61.25
64.59,80.47,4,0.51,30.5
24.66,96.89,8,0.0,9.49
177.79,62.12,2,0.89,57.67
232.71,73.16,2,2.06,68.21
108.28,71.35,4,0.27,38.01
65.88,91.88,8,0.12,17.45
83.45,75.34,2,0.0,34.96
299.0,65.71,2,2.29,81.03
248.57,65.84,2,0.91,65.74
300.82,84.52,6,1.89,65.33
136.36,74.7,4,1.0,45.06
161.67,84.86,8,1.61,41.87
120.96,78.02,3,0.22,38.63
15.84,58.02,2,0.0,32.33
256.26,71.61,5,1.64,64.24
47.7,103.82,9,0.0,8.35
303.69,59.91,2,1.76,80.43
101.29,62.54,4,0.21,39.89
24.47,69.16,3,0.76,32.53
295.22,83.32,7,2.02,64.18
253.62,68.47,5,1.06,61.4
259.6,99.23,8,1.93,51.55
16.72,75.72,3,0.0,24.4
87.12,71.62,2,0.31,38.72
15.69,70.54,4,0.26,26.09
118.44,89.32,9,1.15,30.04
90.46,60.33,2,0.59,44.97
174.33,65.55,2,1.47,59.6
191.24,68.69,2,0.68,55.76
80.98,81.41,6,0.94,31.66
209.44,83.51,4,1.53,54.79
150.09,82.7,7,1.13,39.79
95.89,71.53,3,0.1,36.93
78.59,62.47,1,0.72,45.13
56.42,74.09,5,0.0,26.87
247.22,95.5,9,1.47,46.72
56.81,73.46,3,0.43,33.16
296.87,71.96,3,1.49,71.84
135.18,63.05,3,1.15,51.7
286.9,83.74,5,2.44,68.89
43.81,79.4,4,0.69,29.28
65.42,100.0,8,0.99,19.91
287.82,72.03,3,1.25,69.12
316.38,68.48,2,1.86,79.63
178.75,77.71,4,1.1,50.16
247.88,98.21,10,1.38,43.6
234.15,72.99,3,2.07,66.86
43.31,67.91,2,0.29,34.18
237.76,66.79,1,0.94,65.84
198.61,73.9,5,0.9,51.22
194.92,71.42,5,1.26,53.88
275.48,82.5,8,1.22,55.22
209.38,78.87,4,1.67,57.33
165.48,64.97,2,1.55,59.15
211.8,72.9,6,0.73,50.58
15.25,94.61,9,0.02,7.53
125.21,59.53,2,0.27,47.82
148.25,66.71,3,1.24,52.66
164.48,61.97,1,1.4,60.83
70.78,81.25,6,1.08,31.26
152.56,82.57,4,0.37,40.41
90.44,88.23,7,0.5,26.03
226.04,65.57,3,1.55,65.22
25.74,64.81,2,0.0,31.18
80.96,80.16,5,0.39,30.34
80.2,103.85,9,0.18,13.73
94.6,65.39,3,0.16,39.34
239.02,72.26,3,1.0,61.07
26.39,69.41,2,0.31,31.55
290.77,87.13,5,1.72,63.68
196.14,73.22,4,1.87,58.87
303.52,96.08,9,2.14,58.09
167.84,74.25,2,0.58,50.06
313.46,70.07,2,1.42,75.92
52.43,68.79,6,0.35,28.77
159.74,87.95,9,1.04,35.27
86.68,70.96,2,0.5,40.09
291.46,63.68,4,1.59,73.07
115.19,58.46,2,0.79,50.14
24.52,71.93,5,0.0,23.46
311.42,79.9,3,1.42,70.45
207.51,89.83,9,1.02,40.74
259.51,61.8,3,1.03,67.72
176.89,58.94,2,1.09,59.94
318.22,77.21,6,1.88,70.19
283.99,102.68,9,1.8,51.03
281.25,59.1,3,1.78,76.23
155.39,74.71,2,0.79,49.57
50.8,70.92,3,0.0,30.6
243.02,86.95,5,0.91,52.42
146.78,77.48,4,1.08,45.92
294.13,96.3,9,2.47,58.84
231.45,79.23,4,1.48,58.91
113.79,62.6,2,0.7,47.91
78.94,75.52,5,0.67,33.49
287.85,94.82,9,2.11,56.3
252.28,67.62,3,1.52,67.74
27.02,73.62,4,0.3,26.72
265.31,74.64,1,1.76,71.75
33.24,73.09,6,0.7,26.89
50.69,72.6,5,0.23,28.09
225.54,86.89,7,1.13,48.18
258.91,79.99,4,0.99,59.17
26.3,61.48,1,0.49,37.18
244.85,77.48,5,1.53,59.94
116.52,101.96,10,1.01,22.7
179.92,60.19,4,0.77,54.56
312.53,63.08,3,1.73,78.59
36.07,65.33,3,0.45,33.49
123.32,87.75,6,1.19,36.5
120.22,66.21,4,0.51,42.93
38.08,90.79,8,0.78,18.32
247.6,69.65,4,1.55,64.91
55.12,69.93,1,0.01,34.92
136.0,68.05,5,1.12,46.49
271.9,101.42,8,1.85,51.87
221.44,68.78,3,0.77,58.58
282.3,69.99,2,2.33,77.55
15.44,65.03,2,0.0,29.75
290.5,74.93,6,1.88,67.37
46.02,68.49,4,0.9,34.81
53.61,99.63,8,0.0,12.3
306.59,62.04,2,1.37,77.6
69.35,71.15,3,0.78,37.83
293.97,80.13,5,1.76,66.87
201.51,102.13,9,0.65,33.21
85.79,73.93,4,0.9,38.07
39.69,72.54,4,0.0,26.89
237.22,67.75,3,1.54,65.84
186.23,75.69,6,0.92,47.41
89.68,65.49,5,0.55,37.76
25.29,81.35,8,0.69,19.48
240.98,67.63,3,1.06,63.37
239.9,61.86,2,1.76,71.35
315.21,68.38,5,1.43,71.83
275.59,94.03,9,1.26,49.66
197.88,71.89,3,0.82,54.68
244.61,67.86,3,1.2,64.64
104.96,58.64,2,0.06,44.17
127.74,87.35,7,1.25,35.93
103.94,69.27,3,1.16,45.42
148.24,99.76,8,1.0,30.93
309.95,72.15,4,1.59,72.44
118.94,70.53,3,0.81,44.75
272.7,78.49,4,2.02,67.96
162.52,94.77,9,0.97,32.74
201.51,73.33,3,1.41,58.33
141.85,75.86,2,1.43,51.38
190.88,76.74,2,1.33,56.87
146.36,76.52,6,1.35,44.57
267.77,83.92,4,1.05,59.3
243.67,84.17,9,1.4,49.9
251.61,67.41,3,1.98,70.6
50.68,66.2,3,0.62,36.16
58.58,85.37,5,0.7,27.46
179.26,92.99,9,0.75,34.21
108.14,77.04,3,0.21,37.24
96.32,79.3,3,0.98,39.69
299.74,60.73,1,1.26,78.15
67.85,72.93,6,0.22,28.49
210.04,78.1,3,1.68,59.42
242.26,91.29,8,1.39,48.75
135.1,73.93,3,1.19,48.02
304.83,67.47,2,1.77,77.92
92.18,68.27,5,1.16,40.9
271.33,90.61,9,1.7,53.08
314.62,73.56,2,2.54,81.82
259.21,64.47,3,1.79,71.47
47.52,66.8,2,0.2,34.57
305.16,74.9,6,2.23,71.49
128.51,79.71,3,1.15,44.83
43.09,100.33,8,0.0,10.67
209.82,77.79,2,0.84,55.92
35.22,68.3,2,0.68,35.42
189.16,77.82,6,0.87,46.72
212.68,99.14,9,0.81,36.75
318.92,75.6,2,1.72,76.53
98.79,73.02,3,0.46,39.02
296.3,71.01,2,2.4,79.46
186.74,85.81,7,1.07,43.11
42.5,66.69,5,0.69,32.02
72.79,81.2,8,1.08,28.21
292.63,69.67,2,2.26,78.58
125.67,65.8,2,0.69,48.25
279.66,71.08,5,1.75,68.19
190.92,89.56,9,0.73,36.85
265.31,60.5,3,1.7,73.13
165.22,73.57,3,1.03,51.1
47.42,64.05,1,0.76,40.72
299.03,75.35,5,1.81,69.57
183.24,70.93,4,1.48,55.57
158.96,85.54,9,1.38,38.16
240.96,66.28,4,1.1,62.44
229.91,68.67,2,1.31,64.78
75.75,80.68,6,0.27,27.05
235.88,97.32,9,1.84,46.89
314.64,75.76,3,2.36,78.24
71.84,81.61,4,0.35,30.04
179.91,58.85,2,1.01,59.87
267.59,82.83,6,1.71,60.46
118.57,67.16,5,0.61,41.33
269.31,86.72,8,1.29,53.32
163.46,64.84,2,1.62,59.37
208.44,57.95,2,1.05,64.19
32.59,66.31,5,0.17,27.6
19.12,92.09,10,0.22,8.53
173.79,67.32,4,0.93,52.19
140.79,78.95,4,0.51,41.04
192.23,64.86,2,1.09,59.83
251.18,76.36,6,0.93,55.76
223.72,83.64,4,0.97,53.12
23.99,88.64,8,0.11,13.06
280.36,74.28,3,2.18,73.15
31.01,56.83,2,0.0,34.74
47.96,73.26,5,0.33,28.12
170.1,99.76,8,0.7,31.92
55.16,60.22,3,0.06,35.4
155.62,71.37,4,0.52,45.78
241.54,63.2,1,1.31,69.94
81.63,79.77,6,0.0,26.46
63.39,70.39,5,0.44,31.86
188.74,85.06,8,1.32,43.53
252.93,74.93,3,1.74,66.56
281.69,63.63,3,1.46,72.66
224.93,78.45,4,1.2,56.58
280.78,94.36,8,1.67,54.45
122.34,77.52,3,1.18,44.99
50.45,69.3,3,0.64,35.14
187.96,63.24,3,1.2,58.87
95.51,76.25,6,1.01,35.86
213.76,80.3,4,1.36,55.45
122.33,99.25,8,0.9,27.08
39.89,65.33,4,0.0,29.52
46.02,61.22,1,0.06,37.18
283.25,75.8,4,1.77,68.75
252.56,103.23,10,1.26,41.66
124.08,74.0,3,0.47,42.05
69.38,73.1,3,0.75,36.94
94.65,70.4,3,0.67,40.73
315.14,83.97,6,2.31,70.04
290.28,65.19,4,2.06,75.31
167.56,86.62,8,1.1,38.82
299.35,67.33,4,1.4,71.6
40.71,64.16,2,0.62,37.25
312.64,84.21,5,2.05,69.66
75.48,99.05,10,0.44,14.8
45.3,75.46,4,0.0,26.58
310.95,76.02,3,2.02,75.54
307.91,61.95,2,2.06,82.12
66.99,75.54,5,0.48,30.73
205.02,80.14,4,1.56,55.61
110.0,88.27,8,0.12,24.54
19.02,60.53,3,0.0,30.17
154.18,71.83,2,1.24,53.26
40.28,68.58,5,0.37,29.04
154.68,103.96,9,0.5,25.47
104.76,62.34,3,0.1,41.4
269.6,68.81,3,1.55,69.77
209.13,62.11,2,1.31,64.41
279.45,85.96,7,1.11,55.47
129.42,70.29,4,0.3,41.36
23.91,92.79,9,0.07,9.64
300.09,75.36,3,2.48,77.22
248.18,63.3,2,0.95,66.86
205.6,76.44,5,0.75,50.29
70.05,87.33,8,0.73,23.45
258.33,62.92,2,2.09,75.45
307.52,62.24,3,1.58,77.3
143.81,67.25,2,0.92,51.55
77.39,69.23,6,1.09,36.51
149.41,80.11,4,0.71,43.01
60.46,96.38,7,0.82,21.16
252.39,67.46,3,2.11,71.49
17.49,71.91,3,0.0,25.87
32.97,79.64,4,0.45,26.27
300.54,105.4,9,2.08,54.11
251.64,60.45,3,1.56,70.48
317.29,73.21,3,2.48,80.26
34.05,70.14,2,0.18,31.48
207.06,84.85,6,1.93,53.16
112.1,78.1,5,0.68,36.98
253.73,81.82,8,2.23,58.92
18.08,61.1,3,0.61,33.66
316.52,62.94,2,2.11,83.21
251.06,81.21,5,0.98,55.97
207.82,95.11,9,0.88,38.0
152.53,78.53,3,0.77,46.03
204.07,63.97,3,1.53,62.78
88.45,77.64,3,0.59,36.81
169.15,74.71,6,1.61,49.83
309.44,75.75,4,1.76,72.14
186.45,86.16,8,1.16,41.84
83.93,73.59,3,0.13,34.8
220.55,70.68,1,0.85,61.61
224.54,71.85,5,1.03,56.18
149.29,96.31,8,0.42,28.68
234.57,59.77,3,0.93,64.55
154.56,73.18,3,0.7,47.78
299.57,66.93,3,1.92,76.69
201.84,83.71,6,1.84,52.32
124.66,65.97,5,0.31,40.68
271.12,85.22,7,1.48,56.96
292.13,79.16,4,1.28,65.64
260.78,63.46,1,1.72,74.93
173.64,79.91,5,1.2,47.66
122.18,102.97,8,1.28,28.1
172.83,78.85,3,0.84,49.01
35.37,68.04,3,0.24,31.11
159.97,72.35,3,1.55,54.1
133.57,73.46,6,1.34,43.93
130.56,70.12,4,0.75,44.38
278.63,100.88,8,1.39,50.07
152.58,77.7,3,1.22,49.15
94.43,60.91,1,0.89,48.83
54.99,81.97,5,0.1,24.47
302.19,97.41,9,1.78,55.19
218.15,61.03,2,1.68,68.29
114.79,78.16,3,1.09,43.21
213.85,71.03,2,0.84,58.88
285.32,84.75,7,2.09,62.8
87.59,69.83,4,0.21,35.47
191.43,96.41,8,1.09,38.36
207.21,76.39,4,0.65,51.56
210.17,68.86,2,1.85,65.49
77.95,81.87,5,0.33,28.95
30.42,104.35,8,0.0,7.56
283.15,61.83,3,1.47,73.56
147.13,74.85,3,0.39,44.27
277.66,68.59,1,1.45,73.61
108.52,68.62,5,1.14,42.8
163.12,64.19,4,0.83,51.29
270.18,86.39,7,2.33,61.72
311.97,61.86,2,1.96,82.06
26.84,70.19,2,0.29,31.2
309.46,72.15,5,2.49,76.34
65.23,89.67,9,0.0,15.75
243.4,70.22,4,2.12,67.72
236.77,78.89,3,1.5,61.52
182.61,70.81,3,1.67,58.38
172.58,86.99,7,1.47,43.32
53.29,69.78,4,0.0,29.67
243.12,93.44,8,2.01,51.97
59.31,65.57,4,0.91,37.67
38.85,56.16,2,0.0,36.01
216.51,77.58,5,1.35,55.06
194.77,101.66,10,0.89,32.33
41.73,74.38,3,0.57,31.73
67.36,65.83,3,0.45,37.42
51.78,73.98,2,0.0,31.3
244.32,69.93,6,1.16,58.61
133.35,70.92,4,1.48,49.02
70.44,95.09,8,0.43,18.83
164.67,79.71,3,0.82,47.51
106.47,74.02,2,0.18,39.59
147.4,67.31,5,0.67,45.44
90.56,89.98,9,0.43,21.65
80.9,61.53,3,0.57,41.5
234.41,70.73,4,2.11,66.29
267.34,61.36,2,1.85,75.69
37.07,81.3,6,0.63,24.0
44.77,82.83,5,0.0,22.19
102.04,87.56,7,0.86,30.05
308.9,75.41,4,1.8,72.45
116.78,61.9,3,0.7,46.89
283.21,85.8,5,2.38,67.29
249.07,95.96,10,1.75,46.88
102.7,73.66,2,0.94,43.97
289.48,75.63,3,1.48,69.48
114.58,69.93,2,0.34,43.12
212.19,71.05,6,1.4,55.49
103.42,80.05,4,0.14,33.43
22.9,82.09,8,0.21,15.9
97.1,70.69,3,0.69,41.08
104.14,59.05,3,0.82,47.0
219.4,69.5,5,1.41,58.72
108.95,89.39,9,0.52,24.84
229.53,73.67,3,1.48,62.32
84.36,78.7,4,0.06,30.92
316.93,59.33,1,1.73,83.85
52.47,73.95,6,0.97,30.79
137.48,65.38,4,0.62,46.18
265.43,91.04,8,2.26,57.32
273.03,65.86,3,1.82,72.97
121.0,59.28,2,0.48,48.67
105.58,80.07,6,1.13,36.56
282.62,90.14,8,1.54,55.4
24.29,77.34,4,0.0,23.15
258.58,81.09,3,2.26,68.34
226.71,71.2,2,1.39,63.94
101.1,85.69,6,0.51,30.08
159.37,68.54,5,0.59,46.06
193.84,82.16,8,1.37,45.56
219.67,73.6,2,1.33,61.78
72.14,57.73,3,0.83,43.34
139.25,72.17,4,0.52,43.35
278.96,103.0,9,1.12,46.0
127.98,65.96,3,0.61,46.33
51.77,76.54,4,0.21,28.35
138.95,71.52,3,0.23,43.39
302.63,68.38,7,2.52,73.65
255.11,71.74,4,1.12,62.46
81.69,99.3,9,0.14,15.32
263.07,78.26,3,1.05,62.38
149.11,69.13,2,1.51,55.25
110.82,77.34,5,0.45,35.65
17.7,88.69,9,0.25,11.42
306.27,74.65,3,1.92,74.79
164.27,65.98,2,1.58,58.82
237.41,70.87,1,1.2,65.95
282.09,74.27,5,1.13,63.48
97.22,68.88,5,0.11,34.78
147.46,96.02,8,0.86,31.3
61.71,68.05,3,0.0,33.07
176.96,62.99,3,0.57,53.58
40.88,77.04,5,0.1,24.39
298.68,98.08,8,1.8,56.28
51.96,65.92,4,0.65,34.95
21.06,73.21,3,0.47,28.81
184.27,68.08,3,1.79,60.33
274.35,83.53,7,2.12,61.99
209.29,78.64,5,1.02,51.67
266.21,82.36,8,1.57,56.24
56.07,68.87,3,0.0,32.03
34.09,72.44,1,0.43,33.88
177.72,72.65,6,1.7,52.26
140.36,90.9,9,1.1,32.04
120.86,64.58,3,0.74,46.71
200.3,67.48,3,1.04,57.96
149.34,70.26,3,1.14,50.9
119.67,78.37,6,0.4,34.46
279.18,77.06,4,1.85,68.26
252.37,91.53,7,1.98,55.35
114.12,77.6,2,1.29,46.24
220.02,72.24,2,1.53,63.57
298.64,77.01,4,1.75,70.21
286.41,92.97,8,2.38,60.13
189.99,62.2,3,1.37,60.57
120.08,65.5,3,0.91,47.33
183.39,68.72,2,1.75,61.4
25.43,74.76,7,0.0,19.22
150.88,68.68,4,1.39,51.57
281.79,83.73,9,1.38,54.93
75.65,70.78,3,0.0,33.91
185.82,66.47,2,1.38,60.22
295.43,74.17,5,1.91,70.14
249.4,93.39,9,1.22,46.21
134.32,64.88,3,1.27,51.68
318.82,72.64,3,2.33,79.72
117.68,67.48,3,1.16,47.87
147.52,78.37,6,1.42,44.49
18.57,78.72,3,0.65,27.63
233.57,92.21,9,1.17,44.24
125.78,61.49,3,0.22,45.21
140.9,66.64,3,0.95,49.91
208.17,84.71,5,1.2,50.46
152.76,93.75,9,0.59,29.45
244.44,73.83,2,1.87,68.32
148.67,70.69,3,0.31,45.47
261.99,69.11,2,1.14,67.76
145.17,81.56,6,0.65,38.22
205.46,72.45,4,0.91,54.37
213.25,82.55,8,1.26,47.28
35.62,74.42,3,0.67,31.54
199.12,66.91,2,1.68,63.68
93.87,84.79,4,0.13,30.41
126.82,87.5,9,0.8,29.61
54.03,67.65,3,0.32,34.2
99.06,73.57,3,0.08,36.48
145.19,76.56,2,1.08,49.38
318.26,71.62,6,1.59,70.39
60.29,71.12,3,0.05,32.09
294.98,88.84,8,1.63,58.05
231.52,72.77,3,1.18,61.03
113.75,73.59,2,1.09,46.38
69.19,73.06,5,0.26,30.54
259.23,88.76,10,2.09,52.93
297.79,74.94,2,2.51,78.93
34.9,73.36,2,0.05,29.62
143.69,74.46,3,0.27,43.21
194.37,82.17,6,0.79,45.33
193.14,73.59,4,0.88,52.16
201.33,89.31,8,1.29,43.47
15.14,64.48,3,0.05,28.55
241.08,65.85,2,1.1,65.94
53.36,71.39,5,0.0,27.44
272.2,103.3,9,1.08,44.75
94.04,66.34,3,0.41,40.49
74.9,72.03,3,1.08,40.12
46.16,75.55,1,0.0,31.66
158.12,73.95,6,1.0,44.85
276.59,83.42,4,1.51,63.51
286.47,84.92,8,2.1,61.29
61.01,79.29,2,0.0,30.6
276.2,69.71,1,1.88,75.71
111.54,80.88,6,0.68,34.24
197.72,89.11,9,1.4,42.09
95.17,76.43,4,0.02,32.9
158.14,75.65,4,1.59,51.26
15.41,76.55,2,0.41,28.16
111.45,76.59,6,0.69,35.83
273.72,70.54,4,2.31,72.77
99.8,89.64,8,0.53,25.27
247.14,64.81,4,1.9,68.78
296.21,74.05,2,1.89,75.17
27.78,66.58,5,0.0,25.81
145.74,90.4,10,0.5,27.51
90.44,62.53,3,0.25,40.39
212.07,76.79,2,0.97,57.39
285.01,74.97,2,1.71,72.24
309.73,73.02,6,2.03,71.52
256.98,82.15,3,1.17,60.93
77.5,82.29,8,0.0,21.68
125.37,61.1,2,1.01,51.9
126.46,61.52,2,1.17,52.9
32.06,82.24,4,0.0,22.4
57.16,86.9,8,0.0,17.35
115.38,78.06,3,1.04,43.01
265.34,79.37,2,1.59,67.32
160.63,66.43,2,0.41,50.86
30.41,79.15,6,0.0,19.96
114.1,79.73,4,1.33,42.39
129.1,84.32,9,0.72,30.56
238.36,61.11,3,1.54,68.38
298.83,68.27,3,2.26,78.24
160.59,66.52,5,0.54,46.64
221.88,96.06,9,1.01,40.32
83.05,63.25,4,0.93,41.74
266.97,64.44,4,1.9,71.52
170.27,76.66,2,1.18,53.26
183.43,73.29,6,0.74,46.78
201.3,82.26,4,1.36,53.11
102.1,99.5,8,1.26,26.59
74.44,63.09,3,0.87,41.96
170.36,71.1,3,1.71,56.92
135.91,77.33,5,1.17,43.45
294.52,101.33,9,1.38,50.27
149.09,73.39,2,0.6,48.03
121.58,63.11,3,1.38,51.33
220.52,63.44,2,1.85,68.8
276.25,82.57,6,1.96,63.25
63.3,75.77,5,0.45,29.98
222.99,84.25,9,1.28,46.4
28.03,74.81,3,0.0,26.21
200.63,74.28,1,1.44,61.39
298.16,82.11,6,1.7,64.67
248.05,87.7,8,1.54,51.74
55.61,63.72,4,0.94,38.03
66.58,79.45,2,0.0,31.27
305.14,77.09,2,2.34,78.06
50.98,81.75,6,0.55,25.17
223.39,78.28,5,1.3,55.4
227.73,97.27,9,0.84,39.59
149.92,76.54,3,0.71,46.03
37.66,74.6,2,0.76,33.97
195.05,80.27,4,1.79,55.69
261.61,94.23,8,1.99,53.98
124.56,70.92,3,1.34,48.66
137.36,81.91,3,0.28,39.76
62.9,58.19,3,0.81,41.84
272.47,87.4,6,1.76,59.76
89.4,80.27,5,0.9,34.59
166.05,86.84,8,0.78,36.54
162.14,66.72,2,1.51,57.83
180.42,59.98,2,0.8,58.22
100.11,80.63,4,0.14,32.79
230.18,89.68,8,1.66,49.43
102.21,67.12,3,0.33,40.78
162.07,76.69,2,0.52,48.05
266.04,71.6,2,2.09,73.34
312.95,74.39,6,1.72,69.51
104.99,80.4,5,0.37,33.28
64.1,91.92,8,0.37,18.77
158.48,68.96,4,0.53,47.09
298.28,74.07,2,2.12,76.87
296.4,68.3,4,2.36,76.86
158.1,102.08,9,1.34,31.84
47.57,76.81,3,0.15,29.0
137.85,71.53,3,1.46,50.93
225.56,58.37,2,1.68,70.22
138.48,79.97,6,0.43,36.54
100.61,67.83,4,0.49,39.65
295.73,93.53,9,2.19,58.3
54.72,77.8,4,0.0,26.97
239.82,69.31,2,1.21,65.22
167.88,73.45,5,1.61,51.79
135.29,88.83,8,1.33,35.22
252.65,60.03,3,0.98,67.14
215.08,74.88,3,1.7,61.36
203.23,59.99,2,1.13,63.27
25.34,78.37,6,0.34,21.7
317.54,79.12,4,2.1,74.12
103.07,91.43,9,0.69,24.39
55.71,67.66,3,0.41,34.98
69.9,71.76,2,0.2,35.72
19.44,73.91,5,0.08,22.58
255.84,103.74,10,1.73,44.85
154.28,62.1,3,0.33,49.42
118.85,72.36,2,0.18,41.81
192.91,70.64,2,0.87,56.46
104.33,72.32,7,1.12,37.46
